in Hz,Spectrum in dBA
6.962171E+01,-4.4461E+01
6.981245E+01,-4.3021E+01
7.000319E+01,-3.8721E+01
7.019394E+01,-3.4061E+01
7.038468E+01,-3.1781E+01
7.057543E+01,-3.1461E+01
7.076617E+01,-3.2061E+01
7.095692E+01,-3.2581E+01
7.114766E+01,-3.2221E+01
7.133841E+01,-3.1641E+01
7.152915E+01,-3.1401E+01
7.171989E+01,-3.1181E+01
7.191064E+01,-3.0501E+01
7.210138E+01,-2.8721E+01
7.229213E+01,-2.6961E+01
7.248287E+01,-2.6561E+01
7.267362E+01,-2.7521E+01
7.286436E+01,-2.8901E+01
7.305511E+01,-2.8661E+01
7.324585E+01,-2.7181E+01
7.343659E+01,-2.6761E+01
7.362734E+01,-2.8361E+01
7.381808E+01,-3.2901E+01
7.400883E+01,-4.0901E+01
7.419957E+01,-4.2021E+01
7.439032E+01,-3.9981E+01
7.458106E+01,-3.7921E+01
7.477180E+01,-3.6841E+01
7.496255E+01,-3.6961E+01
7.515329E+01,-3.2421E+01
7.534404E+01,-2.8081E+01
7.553478E+01,-2.6461E+01
7.572553E+01,-2.6941E+01
7.591627E+01,-2.8561E+01
7.610702E+01,-2.8601E+01
7.629776E+01,-2.6661E+01
7.648850E+01,-2.5421E+01
7.667925E+01,-2.5481E+01
7.686999E+01,-2.6681E+01
7.706074E+01,-2.8421E+01
7.725148E+01,-3.0441E+01
7.744223E+01,-3.1921E+01
7.763297E+01,-3.1321E+01
7.782372E+01,-3.0621E+01
7.801446E+01,-3.1241E+01
7.820520E+01,-3.3081E+01
7.839595E+01,-3.6381E+01
7.858669E+01,-4.4241E+01
7.877744E+01,-4.7381E+01
7.896818E+01,-3.8961E+01
7.915893E+01,-4.0021E+01
7.934967E+01,-4.5501E+01
7.954042E+01,-3.6381E+01
7.973116E+01,-3.2781E+01
7.992190E+01,-3.1841E+01
8.011265E+01,-3.1561E+01
8.030339E+01,-3.1261E+01
8.049414E+01,-3.2101E+01
8.068488E+01,-3.3141E+01
8.087563E+01,-3.1401E+01
